dzr,artist,title,status
2511979,Mariah Carey,I Wish You Knew,exists
2511980,Mariah Carey / Nelly,To The Floor,exists
2512049,Mariah Carey,Joy Ride,exists
2512115,Squeeze,Hourglass,exists
2512237,Tindersticks,Tyed,exists
2512247,Tindersticks,Jism,exists
2512248,Tindersticks,Piano Song,exists
2512256,Tindersticks,The Not Knowing,exists
2513489,The Mission,Dancing Barefoot,exists
2513742,Alisha's Attic,The Incidentals,exists
2514691,Mark Knopfler,Sailing To Philadelphia,exists
2514692,Mark Knopfler,What It Is,exists
2515096,Parliament,Flash Light,exists
2515333,Extreme,Stop The World,exists
2515336,Extreme,Leave Me Alone,exists
2515413,The Crusaders / Royal Philharmonic Orchestra,"Last Call (Live At The Royal Festival Hall, London/1981)",exists
2516639,Brenda Holloway,You Can Cry On My Shoulder (Single Version),exists
2517277,Pulp,Pink Glove (John Peel 07/02/93),exists
2517283,Pulp,Sunrise (John Peel 12/08/01),exists
2517297,Pulp,The Fear (John Peel 31/10/01),exists
2517579,Ian Brown,Corpses In Their Mouths (Album Version),exists
2517590,Ian Brown,Longsight M13,exists
2517593,Ian Brown,All Ablaze (Album Version),exists
2517847,JoJo,This Time,exists
2517851,JoJo,Like That,exists
2517853,JoJo,Coming For You,exists
2518801,Fairport Convention,Now Be Thankful (Mono Version),exists
2519208,Loudermilk,Ash To Ash,exists
2519238,Allison Moorer,A Soft Place To Fall (Album Version),exists
2520230,Eminem,Who Knew,exists
2520235,Eminem,I'm Back,exists
2520236,Eminem,Marshall Mathers,exists
2520243,Eminem,Criminal,exists
2520280,TRUSTcompany,Downfall (Album Version),exists
2520283,TRUSTcompany,Running From Me (Album Version),exists
2520286,TRUSTcompany,The Fear (Album Version),exists
2520288,TRUSTcompany,Drop To Zero (Album Version),exists
2520289,TRUSTcompany,Finally (Album Version),exists
2520568,The Jam,Precious,exists
2521144,Guy,Groove Me,exists
2521525,Dave Hollister,No One Else (Album Version),exists
2521591,The Velvet Underground,I'm Sticking With You,exists
2521600,The Velvet Underground,Stephanie Says,exists
2522944,Pulp,TV Movie,exists
2523560,American Head Charge,Seamless (Album Version Explicit),exists
2523567,American Head Charge,Reach and Touch (Album Version Explicit),exists
2524386,Remy Shand,The Second One,exists
2524389,Remy Shand,I Met Your Mercy,exists
2524462,Kiss,Hard Luck Woman,exists
2524567,Marc Antoine,Unity,exists
2524750,Louis Armstrong,When You're Smiling (The Whole World Smiles With You),exists
2525428,Nik Kershaw,Walkabout,exists
2525797,Big Bad Voodoo Daddy,I Wanna Be Like You (Album Version),exists
2525803,Big Bad Voodoo Daddy,Big Time Operator (Album Version),exists
2525862,The Police,Can't Stand Losing You,exists
2525864,The Police,Every Breath You Take,exists
2525866,The Police,Walking On The Moon,exists
2525868,Sting,Fragile,exists
2525869,The Police,Every Little Thing She Does Is Magic,exists
2525872,Sting,Brand New Day,exists
2525873,Sting,Desert Rose,exists
2525874,Sting,If I Ever Lose My Faith In You,exists
2525875,Sting,When We Dance,exists
2525876,The Police,Don't Stand So Close To Me,exists
2525877,The Police,Roxanne,exists
2525878,The Police,So Lonely,exists
2526245,Soft Cell,"Facility Girls (12"" Single Extended Version)",exists
2526418,Soft Cell,Disease And Desire,exists
2526491,Boston,Amanda,exists
2526492,Boston,We're Ready,exists
2526494,Boston,Cool The Engines,exists
2526977,Lulu / Joe Cocker,Now That The Magic Has Gone,exists
2527127,Akon,When The Time's Right,exists
2527143,Split Enz,I Got You,exists
2527181,Powerman 5000,Free,exists
2528343,Depswa,Let It Go (Album Version),exists
2528355,Rickie Lee Jones,Stewart's Coat (Album Version),exists
2528358,Rickie Lee Jones,Rebel Rebel (Album Version),exists
2529804,Alien Ant Farm,Quiet,exists
